perihal,kategori
Rapat Koordinasi Pendidikan Daerah,Undangan
Seminar Nasional Teknologi Informasi 2026,Undangan
Workshop Pengembangan Kurikulum,Undangan
Pelatihan Manajemen Arsip Digital,Undangan
Rapat Evaluasi Semester Genap,Undangan
Wisuda Sarjana Terapan Tahun 2026,Undangan
Rapat Kerja Bersama Dosen,Undangan
Acara Pelantikan Pengurus Organisasi Mahasiswa,Undangan
Rapat Persiapan Akreditasi Program Studi,Undangan
Kunjungan Kerja ke Industri Mitra,Undangan
Rapat Pembahasan MoU Kerjasama,Undangan
Seminar Kewirausahaan Mahasiswa,Undangan
Rapat Koordinasi Praktik Kerja Lapangan,Undangan
Peluncuran Program Magang Bersertifikat,Undangan
Rapat Tim Penjaminan Mutu Internal,Undangan
Konferensi Pers Hasil Penelitian Dosen,Undangan
Rapat Panitia Ujian Kompetensi Keahlian,Undangan
Upacara Peringatan Hari Pendidikan Nasional,Undangan
Rapat Pembahasan Anggaran Tahunan Kampus,Undangan
Lokakarya Inovasi Pembelajaran Digital,Undangan
Undangan Rapat Senat Akademik Bulanan,Undangan
Seminar Proposal Skripsi Mahasiswa,Undangan
Rapat Koordinasi Dosen Pembimbing,Undangan
Workshop Penulisan Karya Ilmiah,Undangan
Undangan Diskusi Panel Industri 4.0,Undangan
Rapat Persiapan Yudisium Periode Maret,Undangan
Seminar Literasi Digital untuk Civitas,Undangan
Undangan Pelantikan Dekan Fakultas Baru,Undangan
Rapat Evaluasi Tracer Study Alumni,Undangan
Workshop Metode Penelitian Kuantitatif,Undangan
Undangan Rapat Koordinasi Laboratorium,Undangan
Seminar Nasional Rekayasa Teknik,Undangan
Rapat Pembahasan Kerjasama Internasional,Undangan
Undangan Expo Karya Mahasiswa,Undangan
Pelatihan Sertifikasi Kompetensi Teknis,Undangan
Rapat Koordinasi Pengabdian Masyarakat,Undangan
Seminar Keamanan Siber dan Privasi Data,Undangan
Undangan Rapat Badan Eksekutif Mahasiswa,Undangan
Workshop Desain Pembelajaran Berbasis Proyek,Undangan
Rapat Persiapan Visitasi Akreditasi BAN-PT,Undangan
Undangan Konferensi Dosen dan Tenaga Kependidikan,Undangan
Seminar Pengembangan Soft Skill Mahasiswa,Undangan
Rapat Koordinasi Magang Industri Semester Genap,Undangan
Undangan Peluncuran Buku Ajar Program Studi,Undangan
Workshop Analisis Data dengan Python,Undangan
Rapat Tim Kurikulum Merdeka Belajar,Undangan
Undangan Festival Seni dan Budaya Kampus,Undangan
Seminar Etika Profesi dan Integritas Akademik,Undangan
Rapat Koordinasi Bimbingan Karir Mahasiswa,Undangan
Undangan Peresmian Gedung Laboratorium Terpadu,Undangan
Jadwal Ujian Akhir Semester,Pemberitahuan
Pengisian Kartu Rencana Studi,Pemberitahuan
Perubahan Jadwal Kuliah Program Studi,Pemberitahuan
Libur Nasional dan Cuti Bersama Kampus,Pemberitahuan
Pembayaran SPP Semester Genap,Pemberitahuan
Pengumpulan Tugas Akhir Mahasiswa,Pemberitahuan
Hasil Seleksi Beasiswa Prestasi Akademik,Pemberitahuan
Jadwal Bimbingan Akademik Dosen Wali,Pemberitahuan
Pelaksanaan Ujian Susulan Semester Ganjil,Pemberitahuan
Pembukaan Pendaftaran Magang Industri,Pemberitahuan
Penggunaan Sistem Informasi Akademik Terbaru,Pemberitahuan
Jadwal Pengambilan Ijazah dan Transkrip,Pemberitahuan
Kegiatan Orientasi Mahasiswa Baru,Pemberitahuan
Perpanjangan Masa Studi Reguler,Pemberitahuan
Hasil Evaluasi Kinerja Dosen Semester Lalu,Pemberitahuan
Pelaksanaan Ujian Komprehensif Proposal,Pemberitahuan
Pembayaran Biaya Wisuda Tahun 2026,Pemberitahuan
Jadwal Remedial Ujian Mata Kuliah Wajib,Pemberitahuan
Pengumuman Kelulusan Yudisium Periode Februari,Pemberitahuan
Perubahan Ruang Kuliah Gedung A Lantai 3,Pemberitahuan
Edaran Penggunaan Kartu Mahasiswa Elektronik,Pemberitahuan
Informasi Cuti Akademik Semester Pendek,Pemberitahuan
Pengumuman Penerima Beasiswa Unggulan,Pemberitahuan
Jadwal Pengisian Evaluasi Dosen oleh Mahasiswa,Pemberitahuan
Pemberitahuan Maintenance Server Akademik,Pemberitahuan
Informasi Perubahan Nomor Kontak BAAK,Pemberitahuan
Pengumuman Hasil Seleksi Asisten Praktikum,Pemberitahuan
Jadwal Konsultasi Skripsi Bersama Kaprodi,Pemberitahuan
Pemberitahuan Penutupan Perpustakaan Sementara,Pemberitahuan
Informasi Kuota Kelas Mata Kuliah Pilihan,Pemberitahuan
Pengumuman Lomba Karya Tulis Ilmiah Mahasiswa,Pemberitahuan
Jadwal Verifikasi Berkas Pendaftaran Wisuda,Pemberitahuan
Pemberitahuan Kebijakan Presensi Kuliah Online,Pemberitahuan
Informasi Sosialisasi Asuransi Kesehatan Mahasiswa,Pemberitahuan
Pengumuman Pembukaan Kelas Bahasa Inggris,Pemberitahuan
Jadwal Pengambilan Surat Keterangan Aktif,Pemberitahuan
Pemberitahuan Perubahan Prosedur KRS Online,Pemberitahuan
Informasi Batas Akhir Pengajuan Cuti Kuliah,Pemberitahuan
Pengumuman Hasil Seleksi Program Pertukaran Pelajar,Pemberitahuan
Jadwal Pelayanan Legalisir Ijazah dan Transkrip,Pemberitahuan
Pemberitahuan Penyesuaian Biaya Praktikum,Pemberitahuan
