perihal,kategori
Rapat Koordinasi Pendidikan Daerah,Undangan
Seminar Nasional Teknologi Informasi 2026,Undangan
Workshop Pengembangan Kurikulum,Undangan
Pelatihan Manajemen Arsip Digital,Undangan
Rapat Evaluasi Semester Genap,Undangan
Wisuda Sarjana Terapan Tahun 2026,Undangan
Rapat Kerja Bersama Dosen,Undangan
Acara Pelantikan Pengurus Organisasi,Undangan
Rapat Persiapan Akreditasi Program Studi,Undangan
Kunjungan Kerja ke Industri Mitra,Undangan
Rapat Pembahasan MoU Kerjasama,Undangan
Seminar Kewirausahaan Mahasiswa,Undangan
Rapat Koordinasi Praktik Kerja Lapangan,Undangan
Peluncuran Program Magang Bersertifikat,Undangan
Rapat Tim Penjaminan Mutu,Undangan
Konferensi Pers Hasil Penelitian,Undangan
Rapat Panitia Ujian Kompetensi,Undangan
Upacara Peringatan Hari Pendidikan,Undangan
Rapat Pembahasan Anggaran Tahunan,Undangan
Lokakarya Inovasi Pembelajaran,Undangan
Jadwal Ujian Akhir Semester,Pemberitahuan
Pengisian Kartu Rencana Studi,Pemberitahuan
Perubahan Jadwal Kuliah,Pemberitahuan
Libur Nasional dan Cuti Bersama,Pemberitahuan
Pembayaran SPP Semester Genap,Pemberitahuan
Pengumpulan Tugas Akhir,Pemberitahuan
Hasil Seleksi Beasiswa,Pemberitahuan
Jadwal Bimbingan Akademik,Pemberitahuan
Pelaksanaan Ujian Susulan,Pemberitahuan
Pembukaan Pendaftaran Magang,Pemberitahuan
Penggunaan Sistem Informasi Akademik,Pemberitahuan
Jadwal Pengambilan Ijazah,Pemberitahuan
Kegiatan Orientasi Mahasiswa Baru,Pemberitahuan
Perpanjangan Masa Studi,Pemberitahuan
Hasil Evaluasi Dosen,Pemberitahuan
Pelaksanaan Ujian Komprehensif,Pemberitahuan
Pembayaran Wisuda,Pemberitahuan
Jadwal Remedial Ujian,Pemberitahuan
Pengumuman Kelulusan,Pemberitahuan
Perubahan Ruang Kuliah,Pemberitahuan
Pengangkatan Dosen Tetap,Keputusan
Penetapan Kalender Akademik,Keputusan
Pembentukan Panitia Ujian,Keputusan
Penunjukan Ketua Program Studi,Keputusan
Pemberian Tunjangan Kinerja,Keputusan
Penetapan Biaya Pendidikan,Keputusan
Penerimaan Mahasiswa Baru,Keputusan
Pembukaan Program Studi Baru,Keputusan
Penetapan Standar Kompetensi Lulusan,Keputusan
Pengangkatan Pejabat Struktural,Keputusan
Penetapan Kurikulum Baru,Keputusan
Pemberian Penghargaan Dosen Berprestasi,Keputusan
Pembentukan Unit Penelitian,Keputusan
Penetapan Sistem Penilaian,Keputusan
Pengangkatan Tenaga Kependidikan,Keputusan
Penetapan Kebijakan Pembelajaran,Keputusan
Pemberian Kenaikan Jabatan Fungsional,Keputusan
Penetapan Prosedur Administrasi Akademik,Keputusan
Pembentukan Tim Akreditasi,Keputusan
Penetapan Rencana Strategis Kampus,Keputusan
