perihal,kategori
Rapat Koordinasi Pendidikan Daerah,Surat Undangan
Seminar Nasional Teknologi Informasi 2026,Surat Undangan
Workshop Pengembangan Kurikulum,Surat Undangan
Pelatihan Manajemen Arsip Digital,Surat Undangan
Rapat Evaluasi Semester Genap,Surat Undangan
Wisuda Sarjana Terapan Tahun 2026,Surat Undangan
Rapat Kerja Bersama Dosen,Surat Undangan
Acara Pelantikan Pengurus Organisasi Mahasiswa,Surat Undangan
Rapat Persiapan Akreditasi Program Studi,Surat Undangan
Kunjungan Kerja ke Industri Mitra,Surat Undangan
Rapat Pembahasan MoU Kerjasama,Surat Undangan
Seminar Kewirausahaan Mahasiswa,Surat Undangan
Rapat Koordinasi Praktik Kerja Lapangan,Surat Undangan
Peluncuran Program Magang Bersertifikat,Surat Undangan
Rapat Tim Penjaminan Mutu Internal,Surat Undangan
Konferensi Pers Hasil Penelitian Dosen,Surat Undangan
Rapat Panitia Ujian Kompetensi Keahlian,Surat Undangan
Upacara Peringatan Hari Pendidikan Nasional,Surat Undangan
Rapat Pembahasan Anggaran Tahunan Kampus,Surat Undangan
Lokakarya Inovasi Pembelajaran Digital,Surat Undangan
Undangan Rapat Senat Akademik Bulanan,Surat Undangan
Seminar Proposal Skripsi Mahasiswa,Surat Undangan
Rapat Koordinasi Dosen Pembimbing,Surat Undangan
Workshop Penulisan Karya Ilmiah,Surat Undangan
Undangan Diskusi Panel Industri 4.0,Surat Undangan
Rapat Persiapan Yudisium Periode Maret,Surat Undangan
Seminar Literasi Digital untuk Civitas,Surat Undangan
Undangan Pelantikan Dekan Fakultas Baru,Surat Undangan
Rapat Evaluasi Tracer Study Alumni,Surat Undangan
Workshop Metode Penelitian Kuantitatif,Surat Undangan
Undangan Rapat Koordinasi Laboratorium,Surat Undangan
Seminar Nasional Rekayasa Teknik,Surat Undangan
Rapat Pembahasan Kerjasama Internasional,Surat Undangan
Undangan Expo Karya Mahasiswa,Surat Undangan
Pelatihan Sertifikasi Kompetensi Teknis,Surat Undangan
Rapat Koordinasi Pengabdian Masyarakat,Surat Undangan
Seminar Keamanan Siber dan Privasi Data,Surat Undangan
Undangan Rapat Badan Eksekutif Mahasiswa,Surat Undangan
Workshop Desain Pembelajaran Berbasis Proyek,Surat Undangan
Rapat Persiapan Visitasi Akreditasi BAN-PT,Surat Undangan
Undangan Konferensi Dosen dan Tenaga Kependidikan,Surat Undangan
Seminar Pengembangan Soft Skill Mahasiswa,Surat Undangan
Rapat Koordinasi Magang Industri Semester Genap,Surat Undangan
Undangan Peluncuran Buku Ajar Program Studi,Surat Undangan
Workshop Analisis Data dengan Python,Surat Undangan
Rapat Tim Kurikulum Merdeka Belajar,Surat Undangan
Undangan Festival Seni dan Budaya Kampus,Surat Undangan
Seminar Etika Profesi dan Integritas Akademik,Surat Undangan
Rapat Koordinasi Bimbingan Karir Mahasiswa,Surat Undangan
Undangan Peresmian Gedung Laboratorium Terpadu,Surat Undangan
Jadwal Ujian Akhir Semester,Surat Pemberitahuan
Pengisian Kartu Rencana Studi,Surat Pemberitahuan
Perubahan Jadwal Kuliah Program Studi,Surat Pemberitahuan
Libur Nasional dan Cuti Bersama Kampus,Surat Pemberitahuan
Pembayaran SPP Semester Genap,Surat Pemberitahuan
Pengumpulan Tugas Akhir Mahasiswa,Surat Pemberitahuan
Hasil Seleksi Beasiswa Prestasi Akademik,Surat Pemberitahuan
Jadwal Bimbingan Akademik Dosen Wali,Surat Pemberitahuan
Pelaksanaan Ujian Susulan Semester Ganjil,Surat Pemberitahuan
Pembukaan Pendaftaran Magang Industri,Surat Pemberitahuan
Penggunaan Sistem Informasi Akademik Terbaru,Surat Pemberitahuan
Jadwal Pengambilan Ijazah dan Transkrip,Surat Pemberitahuan
Kegiatan Orientasi Mahasiswa Baru,Surat Pemberitahuan
Perpanjangan Masa Studi Reguler,Surat Pemberitahuan
